datetime,temp_out,solar_ghi
2021-12-31 23:00:00+00:00,9.057,0.0
2022-01-01 00:00:00+00:00,10.457,0.0
2022-01-01 01:00:00+00:00,10.457,0.0
2022-01-01 02:00:00+00:00,10.457,0.0
2022-01-01 03:00:00+00:00,9.707,0.0
2022-01-01 04:00:00+00:00,9.907,0.0
2022-01-01 05:00:00+00:00,9.857,0.0
2022-01-01 06:00:00+00:00,9.507,0.0
2022-01-01 07:00:00+00:00,8.957,0.0
2022-01-01 08:00:00+00:00,8.607,8.0
2022-01-01 09:00:00+00:00,9.157,61.0
2022-01-01 10:00:00+00:00,9.757,95.0
2022-01-01 11:00:00+00:00,10.157,79.0
2022-01-01 12:00:00+00:00,11.557,97.0
2022-01-01 13:00:00+00:00,11.657,177.0
2022-01-01 14:00:00+00:00,11.557,113.0
2022-01-01 15:00:00+00:00,9.557,49.0
2022-01-01 16:00:00+00:00,8.807,3.0
2022-01-01 17:00:00+00:00,7.657,0.0
2022-01-01 18:00:00+00:00,7.257,0.0
2022-01-01 19:00:00+00:00,7.007,0.0
2022-01-01 20:00:00+00:00,6.507,0.0
2022-01-01 21:00:00+00:00,6.307,0.0
2022-01-01 22:00:00+00:00,6.257,0.0
2022-01-01 23:00:00+00:00,5.907,0.0
2022-01-02 00:00:00+00:00,5.507,0.0
2022-01-02 01:00:00+00:00,5.307,0.0
2022-01-02 02:00:00+00:00,5.507,0.0
2022-01-02 03:00:00+00:00,5.207,0.0
2022-01-02 04:00:00+00:00,4.957,0.0
2022-01-02 05:00:00+00:00,4.607,0.0
2022-01-02 06:00:00+00:00,4.707,0.0
2022-01-02 07:00:00+00:00,4.657,0.0
2022-01-02 08:00:00+00:00,5.057,9.0
2022-01-02 09:00:00+00:00,6.057,48.0
2022-01-02 10:00:00+00:00,6.757,69.0
2022-01-02 11:00:00+00:00,7.957,117.0
2022-01-02 12:00:00+00:00,8.607,151.0
2022-01-02 13:00:00+00:00,8.557,46.0
2022-01-02 14:00:00+00:00,10.057,46.0
2022-01-02 15:00:00+00:00,10.007,55.0
2022-01-02 16:00:00+00:00,9.807,3.0
2022-01-02 17:00:00+00:00,9.257,0.0
2022-01-02 18:00:00+00:00,8.957,0.0
2022-01-02 19:00:00+00:00,8.907,0.0
2022-01-02 20:00:00+00:00,9.257,0.0
2022-01-02 21:00:00+00:00,9.957,0.0
2022-01-02 22:00:00+00:00,9.757,0.0
2022-01-02 23:00:00+00:00,9.907,0.0
2022-01-03 00:00:00+00:00,10.657,0.0
2022-01-03 01:00:00+00:00,10.207,0.0
2022-01-03 02:00:00+00:00,9.507,0.0
2022-01-03 03:00:00+00:00,8.657,0.0
2022-01-03 04:00:00+00:00,8.157001,0.0
2022-01-03 05:00:00+00:00,7.757,0.0
2022-01-03 06:00:00+00:00,8.357,0.0
2022-01-03 07:00:00+00:00,7.457,0.0
2022-01-03 08:00:00+00:00,7.557,10.0
2022-01-03 09:00:00+00:00,7.757,65.0
2022-01-03 10:00:00+00:00,8.607,113.0
2022-01-03 11:00:00+00:00,9.157,176.0
2022-01-03 12:00:00+00:00,8.707,141.0
2022-01-03 13:00:00+00:00,8.757,127.0
2022-01-03 14:00:00+00:00,8.757,56.0
2022-01-03 15:00:00+00:00,8.607,17.0
2022-01-03 16:00:00+00:00,8.157001,2.0
2022-01-03 17:00:00+00:00,8.107,0.0
2022-01-03 18:00:00+00:00,8.107,0.0
2022-01-03 19:00:00+00:00,8.457,0.0
2022-01-03 20:00:00+00:00,8.357,0.0
2022-01-03 21:00:00+00:00,8.257,0.0
2022-01-03 22:00:00+00:00,8.257,0.0
2022-01-03 23:00:00+00:00,8.257,0.0
2022-01-04 00:00:00+00:00,7.457,0.0
2022-01-04 01:00:00+00:00,7.557,0.0
2022-01-04 02:00:00+00:00,8.107,0.0
2022-01-04 03:00:00+00:00,8.707,0.0
2022-01-04 04:00:00+00:00,9.457,0.0
2022-01-04 05:00:00+00:00,9.407,0.0
2022-01-04 06:00:00+00:00,9.257,0.0
2022-01-04 07:00:00+00:00,9.507,0.0
2022-01-04 08:00:00+00:00,9.657,1.0
2022-01-04 09:00:00+00:00,10.057,11.0
2022-01-04 10:00:00+00:00,10.307,13.0
2022-01-04 11:00:00+00:00,10.807,23.0
2022-01-04 12:00:00+00:00,10.307,21.0
2022-01-04 13:00:00+00:00,11.157,37.0
2022-01-04 14:00:00+00:00,10.207,15.0
2022-01-04 15:00:00+00:00,6.957,17.0
2022-01-04 16:00:00+00:00,6.257,1.0
2022-01-04 17:00:00+00:00,5.357,0.0
2022-01-04 18:00:00+00:00,4.907,0.0
2022-01-04 19:00:00+00:00,4.757,0.0
2022-01-04 20:00:00+00:00,4.707,0.0
2022-01-04 21:00:00+00:00,4.557,0.0
2022-01-04 22:00:00+00:00,4.4570003,0.0
2022-01-04 23:00:00+00:00,4.357,0.0
2022-01-05 00:00:00+00:00,4.4570003,0.0
2022-01-05 01:00:00+00:00,4.2070003,0.0
2022-01-05 02:00:00+00:00,3.707,0.0
2022-01-05 03:00:00+00:00,4.357,0.0
2022-01-05 04:00:00+00:00,4.857,0.0
2022-01-05 05:00:00+00:00,5.307,0.0
2022-01-05 06:00:00+00:00,4.707,0.0
2022-01-05 07:00:00+00:00,3.557,0.0
2022-01-05 08:00:00+00:00,2.807,4.0
2022-01-05 09:00:00+00:00,2.357,34.0
2022-01-05 10:00:00+00:00,2.407,108.0
2022-01-05 11:00:00+00:00,2.6069999,244.0
2022-01-05 12:00:00+00:00,1.957,258.0
2022-01-05 13:00:00+00:00,2.407,160.0
2022-01-05 14:00:00+00:00,2.807,58.0
2022-01-05 15:00:00+00:00,2.657,23.0
2022-01-05 16:00:00+00:00,1.4070001,4.0
2022-01-05 17:00:00+00:00,1.507,0.0
2022-01-05 18:00:00+00:00,1.5569999,0.0
2022-01-05 19:00:00+00:00,1.9070001,0.0
2022-01-05 20:00:00+00:00,2.257,0.0
2022-01-05 21:00:00+00:00,2.557,0.0
2022-01-05 22:00:00+00:00,2.6069999,0.0
2022-01-05 23:00:00+00:00,2.807,0.0
2022-01-06 00:00:00+00:00,2.457,0.0
2022-01-06 01:00:00+00:00,2.057,0.0
2022-01-06 02:00:00+00:00,2.307,0.0
2022-01-06 03:00:00+00:00,2.357,0.0
2022-01-06 04:00:00+00:00,1.8069999,0.0
2022-01-06 05:00:00+00:00,1.6070001,0.0
2022-01-06 06:00:00+00:00,1.1570001,0.0
2022-01-06 07:00:00+00:00,1.1070001,0.0
2022-01-06 08:00:00+00:00,1.1570001,12.0
2022-01-06 09:00:00+00:00,1.8069999,53.0
2022-01-06 10:00:00+00:00,2.357,123.0
2022-01-06 11:00:00+00:00,2.907,201.0
2022-01-06 12:00:00+00:00,3.057,244.0
2022-01-06 13:00:00+00:00,3.3569999,196.0
2022-01-06 14:00:00+00:00,3.207,149.0
2022-01-06 15:00:00+00:00,2.407,69.0
2022-01-06 16:00:00+00:00,1.3570001,5.0
2022-01-06 17:00:00+00:00,0.507,0.0
2022-01-06 18:00:00+00:00,0.007000029,0.0
2022-01-06 19:00:00+00:00,-0.593,0.0
2022-01-06 20:00:00+00:00,-1.1429999,0.0
2022-01-06 21:00:00+00:00,-1.6430001,0.0
2022-01-06 22:00:00+00:00,-1.9430001,0.0
2022-01-06 23:00:00+00:00,-2.493,0.0
2022-01-07 00:00:00+00:00,-1.993,0.0
2022-01-07 01:00:00+00:00,-1.743,0.0
2022-01-07 02:00:00+00:00,-1.793,0.0
2022-01-07 03:00:00+00:00,-2.493,0.0
2022-01-07 04:00:00+00:00,-2.1430001,0.0
2022-01-07 05:00:00+00:00,-2.443,0.0
2022-01-07 06:00:00+00:00,-2.293,0.0
2022-01-07 07:00:00+00:00,-2.743,0.0
2022-01-07 08:00:00+00:00,-1.8930001,13.0
2022-01-07 09:00:00+00:00,-0.693,62.0
2022-01-07 10:00:00+00:00,0.757,128.0
2022-01-07 11:00:00+00:00,2.007,180.0
